epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run,train/rsl_loss,val/rsl_loss
92,3035.07,0.69157,0.38385,0.96075,0.75611,0.63381,0.68657,0.42737,1.44777,1.1811,1.51637,6.19375e-05,6.19375e-05,6.19375e-05,1_baseline_yolov8s,,
93,3074.13,0.68152,0.37669,0.95422,0.76637,0.62703,0.68481,0.42354,1.45046,1.19183,1.51628,5.575e-05,5.575e-05,5.575e-05,1_baseline_yolov8s,,
94,3113.31,0.6672,0.37194,0.94752,0.76133,0.63951,0.68819,0.42765,1.44461,1.19339,1.51231,4.95625e-05,4.95625e-05,4.95625e-05,1_baseline_yolov8s,,
95,3152.7,0.67122,0.37333,0.95187,0.7693,0.62742,0.68636,0.42932,1.44143,1.19261,1.51275,4.3375e-05,4.3375e-05,4.3375e-05,1_baseline_yolov8s,,
96,3192.18,0.6559,0.36433,0.9446,0.79544,0.61149,0.68417,0.42834,1.44231,1.20196,1.51254,3.71875e-05,3.71875e-05,3.71875e-05,1_baseline_yolov8s,,
97,3231.18,0.65199,0.36326,0.94334,0.7825,0.62319,0.68736,0.43081,1.44006,1.19085,1.51278,3.1e-05,3.1e-05,3.1e-05,1_baseline_yolov8s,,
98,3270.06,0.65428,0.36207,0.94561,0.77193,0.62727,0.68591,0.42868,1.44397,1.20153,1.51698,2.48125e-05,2.48125e-05,2.48125e-05,1_baseline_yolov8s,,
99,3309.33,0.64389,0.36045,0.94262,0.79892,0.61272,0.68824,0.43116,1.44484,1.18816,1.51886,1.8625e-05,1.8625e-05,1.8625e-05,1_baseline_yolov8s,,
100,3349.05,0.64085,0.35309,0.9352,0.78507,0.62024,0.68729,0.43026,1.44238,1.1927,1.51832,1.24375e-05,1.24375e-05,1.24375e-05,1_baseline_yolov8s,,
1,42.0274,1.43601,2.28552,1.39627,0.63989,0.59078,0.60877,0.3675,1.3796,1.58725,1.37095,0.000207225,0.000207225,0.000207225,2_yolov8s_rfd,,
2,83.62,1.42544,1.67701,1.40678,0.59484,0.4986,0.53041,0.29537,1.53962,1.72861,1.53146,0.000411444,0.000411444,0.000411444,2_yolov8s_rfd,,
3,124.84,1.48114,1.72923,1.47101,0.53602,0.47384,0.4956,0.26729,1.59441,1.74606,1.57636,0.000611539,0.000611539,0.000611539,2_yolov8s_rfd,,
4,166.024,1.49035,1.71824,1.47874,0.53277,0.50069,0.49044,0.26939,1.5845,1.72496,1.58104,0.000606437,0.000606437,0.000606437,2_yolov8s_rfd,,
5,207.132,1.47344,1.63945,1.46436,0.55821,0.48411,0.50896,0.28292,1.57267,1.72834,1.55181,0.00060025,0.00060025,0.00060025,2_yolov8s_rfd,,
6,248.061,1.45201,1.59448,1.45161,0.61749,0.51325,0.55017,0.31068,1.55601,1.59328,1.55809,0.000594062,0.000594062,0.000594062,2_yolov8s_rfd,,
7,288.451,1.43137,1.5374,1.44133,0.63193,0.53178,0.56523,0.32106,1.54244,1.54926,1.5554,0.000587875,0.000587875,0.000587875,2_yolov8s_rfd,,
8,328.796,1.4107,1.47543,1.42914,0.58407,0.53235,0.56118,0.32096,1.51986,1.55954,1.51773,0.000581687,0.000581687,0.000581687,2_yolov8s_rfd,,
9,369.118,1.39809,1.45466,1.42596,0.63958,0.53513,0.57605,0.33175,1.51861,1.53476,1.52526,0.0005755,0.0005755,0.0005755,2_yolov8s_rfd,,
10,408.907,1.36361,1.40758,1.3986,0.66264,0.54638,0.60068,0.35149,1.49143,1.41912,1.48913,0.000569313,0.000569313,0.000569313,2_yolov8s_rfd,,
11,448.925,1.35314,1.37452,1.38944,0.64906,0.56842,0.60868,0.36062,1.47178,1.44627,1.48426,0.000563125,0.000563125,0.000563125,2_yolov8s_rfd,,
12,488.425,1.35129,1.33394,1.37692,0.65406,0.57009,0.61227,0.3601,1.47063,1.4007,1.47907,0.000556938,0.000556938,0.000556938,2_yolov8s_rfd,,
13,528.703,1.34117,1.30844,1.37095,0.63263,0.57431,0.61687,0.36166,1.46905,1.40083,1.47878,0.00055075,0.00055075,0.00055075,2_yolov8s_rfd,,
14,568.582,1.30513,1.26106,1.35409,0.65613,0.57866,0.62027,0.37114,1.45151,1.35855,1.46825,0.000544563,0.000544563,0.000544563,2_yolov8s_rfd,,
15,608.887,1.28574,1.23709,1.34334,0.65874,0.56952,0.61602,0.36897,1.45711,1.35657,1.4738,0.000538375,0.000538375,0.000538375,2_yolov8s_rfd,,
16,649.512,1.29583,1.19762,1.33624,0.71021,0.57357,0.63318,0.37891,1.46054,1.32117,1.47765,0.000532187,0.000532187,0.000532187,2_yolov8s_rfd,,
